1456480200328,982,0,1075,270
1456480200330,840,490,1218,545
1456480200330,936,1016,1055,1216
1456480200331,936,1640,1051,1996
1456480200331,963,0,1116,224
1456480200332,830,1799,938,1892
1456480200333,873,599,1105,917
1456480200333,814,1814,938,1923
1456480200333,832,285,938,377
1456480200333,1005,611,1105,914
1456480200333,812,766,938,863
1456480200335,837,639,1223,722
1456480200335,1027,1293,1104,1590
1456480200345,843,1053,1240,1180
1456480200362,984,653,1111,808
1456480200362,1023,654,1110,807
1456480200362,908,0,1119,202
1456480200362,980,0,1118,199
1456480200364,924,647,1118,910
1456480200364,1037,1331,1093,1459
1456480200365,915,1696,1135,1960
1456480200365,823,719,1313,828
1456480200366,1033,86,1148,264
1456480200366,918,422,1015,786
1456480200367,910,1303,1147,1620
1456480200369,943,755,1157,950
1456480200371,916,0,1192,296
1456480200371,1090,769,1145,882
1456480200372,917,1555,1153,1847
1456480200372,840,1129,1298,1277
1456480200372,844,913,1312,1067
1456480200374,892,675,1090,949
1456480200375,868,1692,1060,1900
1456480200377,881,382,1105,649
1456480200378,917,1442,1097,1630
1456480200380,929,274,1161,569
1456480200383,972,0,1134,109
1456480200390,992,1780,1120,1900
1459200100005,1013,461,1089,720
1459200100009,1002,354,1091,604
1459200100019,907,167,1063,347
1459200100024,982,1638,1100,1777
1459200100040,907,642,1200,736
1459200100040,895,830,1180,916
1459200100040,929,1012,1176,1091
1459200100040,857,454,1216,557
1459200100040,995,1016,1187,1087
1459200100062,972,1014,1068,1319
1459200100065,849,736,1242,787
1459200100076,1000,1110,1137,1633
1459200100076,1050,1668,1127,1847
1459210200015,842,1848,1326,1959
1459210200015,850,1657,1309,1823
1459210200042,844,1542,1288,1640
1459210200042,883,754,1185,841
1459210200042,877,906,1227,1011
1459210200042,941,571,1146,631
1459210200042,895,752,1141,830
1459210200056,974,217,1087,627
1459210200056,976,50,1085,639
1459210200057,859,1617,1266,1667
1459210200057,971,904,1111,1146
1459210200057,984,861,1089,1124
1459210200085,966,1734,1148,1846
1459210200085,859,1231,1166,1390
1459210200088,983,1466,1194,1594
1459210200088,856,794,1164,956
1459210200088,885,1,1109,148
1459210200088,971,801,1157,946
1500250100026,877,1446,951,1512
1500250100026,846,395,931,528
1500250100027,846,807,948,1040
1500250100027,843,280,1026,483
1500250100027,1062,958,1187,1034
1500250100027,1069,1446,1188,1509
1500250100028,1059,927,1201,1017
1500250100028,1059,1383,1194,1460
1500250100029,779,1739,1201,1810
1500250100029,924,955,1038,1067
1500250100029,1079,345,1168,402
1500250100045,832,327,1210,401
1500250100051,871,123,972,594
1500250100060,770,632,1218,715
1500250100060,883,830,1071,1021
1500250100062,939,1612,1111,1766
1500250100062,844,160,938,446
1500250100064,996,678,1088,809
1500250100064,1054,1519,1159,1653
1500250100066,926,462,1059,632
1500250100076,1008,172,1092,464
1500250100076,1000,0,1087,467
1500250100076,1004,171,1090,302
1500250100080,1006,156,1080,424
1500250100080,826,1083,1217,1144
1500250100081,1083,1214,1179,1796
1500250200020,968,136,1085,432
1500250200022,811,756,1236,802
1500250200022,953,1293,1071,1528
1500250200022,1185,344,1281,464
1500250200024,958,0,1045,181
1500250200037,843,685,1264,796
1500250200037,914,1543,1180,1631
1500250200037,917,1349,1181,1442
1500250200064,821,1109,1311,1235
1500250200064,840,919,1315,1060
1500250200064,1215,169,1304,518
1501200100015,807,751,1242,822
1501200100015,906,1568,1190,1658
1501200100015,875,1377,1208,1469
1501200100015,886,1759,1179,1851
1501200100017,1124,73,1204,143
1501200100031,1097,1447,1200,1520
1501200100032,1098,388,1214,465
1501200100032,1100,1404,1214,1464
1501200100033,1080,363,1217,431
1501200100035,805,1719,1217,1758
1501200100038,976,0,1069,338
1501200100038,916,905,1144,1103
1501200100043,997,1134,1089,1305
1501200200015,913,1581,1209,1670
1501200200015,922,1425,1164,1486
1501200200015,934,1277,1131,1341
1501200200015,943,1117,1112,1159
1501200200029,978,994,1086,1339
1501200200030,975,1706,1108,1935
1501200200033,976,641,1079,1048
1516400200067,847,199,1296,333
1516400200067,834,383,1293,503
1517500100066,905,1268,1191,1546
1517510200006,830,1341,1309,1467
1517510200006,844,1164,1292,1333
